Modulkürzel;Modulname
AGI;Ausgewählte Gebiete der Informatik
AMIT;Architektur moderner IT-Systeme 
BEG;Besteuerung der Gesellschaften
BEI;Business English I
BEII;Business English II
BEIII;Business English III
BEIV;Business English IV
BEV;Business English V
BID;Business Intelligence und Datenanalyse 
BMW;BWL mittelständischer Unternehmen 
BS;Betriebssysteme
BSM;Business Strategy and Management 
BWL;Grundlagen der BWL
CF 3;Nachhaltigkeitscontrolling und Compliance
CF 4;Kapitalmärkte und Finanzierungsinstrumente 
CF 5;Mergers & Acquisitions 
CH V;Chinesisch V 
CMF;International Capital Markets and Finance 
COF;Corporate Finance 
CON;Controlling 
DBK;Datenbanken
DEL;Distributions-, Service- und Entsorgungslogistik 
DIM;Daten- und Informationsmanagement 
EKL 3;Supply Chain Benchmarking und Controlling 
EKL 4;Infrastruktur und Prozesse internationaler Supply Chains 
EREW;Externes Rechnungswesen
EUU;Entrepreneurship und Unternehmensführung
FRA I;Wirtschaftsfranzösisch I
FRA II ;Wirtschaftsfranzösisch II
FRA III;Wirtschaftsfranzösisch III
FRA IV;Wirtschaftsfranzösisch IV
FRA V;Wirtschaftsfranzösisch V 
GBI;Geschäftsprozesse und betriebliche Informationssysteme
GDI;Grundlagen der Informatik
GIM;Globalisierung und Internationales Management
GRE;Gesellschaftsrecht 
GVC;Strategiefindung - Geschäftsmodelle und Value-Chain-Design
IFRS;Internationale Rechnungslegung (IFRS) mit Jahresabschlussanalyse und Prüfungswesen
INR;Insolvenzrecht
IREW;Internes Rechnungswesen
ITC;IT-Controlling 
ITM;IT-Methoden-Trends 
ITMS;IT-Management und IT-Strategie
IUF;Investition und Finanzierung
KUP;Kommunikation und Präsentation
MAK;Makroökonomie und Außenwirtschaft
M-BPM;Business Process Management 
MEM;Multinational Enterprise Management
M-GM;Global Marketing 
M-IBE;International Business Environment 
MIC;Methoden und Instrumente des Controlling 
MIT;Methoden im IT-Consulting
MV 3;Customer Relationship Management
MV 4;Markenführung 
MV 5;Marketing und Vertrieb im internationalen Kontext 
NW;Netzwerke
OHR;Organisation und Human Resource Management 
OM;Operations Management 
OPR;Objektorientierte Programmierung
PAR;Personalführung und Arbeitsrecht
PIT;Praxis im IT-Consulting
PM;Persönlichkeitsmanagement 
POWER;Power-Check
PRAXIS;Praxis-Check
PRG;Programmierung
PUT;Projekt- und Teammanagement
RSWE;Requirements und Software Engineering
SPA I;Spanisch I
SPA II;Spanisch II
SPA III;Spanisch III
SPA IV;Spanisch IV
SPA V;Spanisch V
SRM;IT-Security - IT-Risk Management
STA;Statistik
SU 3;Ertragssteuerliche Gewinnermittlung, Bilanzsteuerrecht und Umwandlungssteuerrecht
SU 4;Steuerliches Verfahrensrecht und Internationales Steuerrecht 
SU 5;Strategie der Unternehmensnachfolge 
TIM;Technology and Innovation Management 
TUWRE;Top-up-Kurs Wirtschaftsrecht 
UET;Unternehmensethik
USR;Unternehmenssteuerrecht mit Bilanzrecht und Umwandlungssteuerrecht
VC ;Vertriebscontrolling
VCM;Value Chain Management 
VK;Vertriebskonzepte
VM;Einführung in das Vertriebsmanagement
WIA;Arbeitsmethodik und wissenschaftliches Arbeiten
WIM;Wirtschaftsmathematik
WIN;Einführung in die Wirtschaftsinformatik
WIP;Projekte der Wirtschaftsinformatik
WPF I;Wirtschaftsrechtliche Praxisfallstudien I
WPF II;Wirtschaftsrechtliche Praxisfallstudien II
WREM;Wirtschaftsrecht für den Mittelstand
WSR;Wirtschaftsstrafrecht 
